Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Continuous availability,apenas citado,"“Transaction processing system features such as Performance, Continuous availability, Data integrity, Ease of use, Modular growth [2].”"
Data integrity,apenas citado,"“Transaction processing system features such as Performance, Continuous availability, Data integrity, Ease of use, Modular growth [2].”"
Ease of use,apenas citado,"“Transaction processing system features such as Performance, Continuous availability, Data integrity, Ease of use, Modular growth [2].”"
Modular growth,apenas citado,"“Transaction processing system features such as Performance, Continuous availability, Data integrity, Ease of use, Modular growth [2].”"
No up-front investment,apenas citado,“Cloud Computing Provides some advantages … such as No up-front investment as it uses a pay-as-you-go pricing model…”
Lowering operating cost,apenas citado,“Cloud Computing Provides some advantages … Lowering operating cost as Resources in a cloud environment can be rapidly allocated and de-allocated on demand…”
Highly scalable,apenas citado,“Cloud Computing Provides some advantages … Highly scalable where Infrastructure providers pool large amount of resources…”
Easy access,apenas citado,“Cloud Computing Provides some advantages … Easy access as Services hosted in the cloud are generally web-based.”
Reducing business risks and maintenance expenses,apenas citado,“Cloud Computing Provides some advantages … Reducing business risks and maintenance expenses by outsourcing the service infrastructure to the clouds…”
Sulis et al. 2020 - Risk-aware business process modeling - a comparison of discrete event and agent-based approaches.pdf
Indicador,Usado_para_construir_medidor,Trecho_Justificativo
Time to build the model,Sim,“We adopted the eight following criteria: • Time to build the model. We investigate how long does it take to manage the process from the initial conception to the modeling conclusion.”
General impression,Sim,“• General impression. This aspect concerns the ease of understanding of the model.”
Output results,Sim,“• Output results. The focus here is on the readability of the resulting model.”
KPIs of the process,Sim,“• KPIs of the process. This aspect relates to the introduction of performance indicators in the model.”
Modifying flow setting,Sim,“• Modifying flow setting. We investigate how the process flow is easy to manipulate and how immediate is to change parameters in the model.”
Integrating the detection of failures,Sim,“• Integrating the detection of failures. We analyse what would be the effort to integrate in the model traditional methods as Failure Mode and Effect Analysis (FMEA) or Cause and Effect analysis.”
Adding behaviour,Sim,“• Adding behaviour. This topic deﬁne how it is possible to change the model accordingly to new input/variables.”
Process mining,Sim,“• Process mining. This topic refers to how the approach is suitable to be addressed by recent advances in reading event logs for process discovery.”
Reported errors,Sim,"“Figure 2 describes data of BB related to year 2017 for each of the three areas, concerning errors as reported by workers (Reported)….”"
Detected errors,Sim,“…errors estimated by managers (Detected)….”
Claims (errors not detected),Sim,“…and the official Claims coming from patients corresponding to errors not detected.”
Toh et al. 2022 - Improving Operation Efficiency through Predicting Credit Card Application Turnaround Time with Index-based Encoding.pdf
indicador,usado_para_medidores,trecho_comprovante
Turnaround Time (TAT),Sim,"“The objective of the model is to predict the turnaround time of credit card applications. Specifically, turnaround time is the duration from when an application is received in the system to when a decision has been made to approve or reject the application.”"
Predicted Remaining Time,Sim,“Predicted remaining time is derived by subtracting time taken so far (engineered dynamic variable) from the predicted Turnaround time. This is calculated for in progress applications in the production data set to make it possible to proactively intervene on applications that are predicted to take longer than normal.”
Tendência do Turnaround Time Médio,Sim,“A critical factor to consider and mitigate is the trend of the average turnaround time.”
Mean Absolute Error (MAE) do TAT,Sim,“Mean absolute error (MAE) is used as the performance metric for the prediction of turnaround time.”
Median Absolute Error (MedAE) do TAT,Sim,"“The median absolute error for the train and test data sets are 0.23 days and 0.35 days respectively, which is significantly lower than the corresponding mean absolute error.”"
Tempo do Passo Crítico (Step Time Taken),Não,"“At the model level, top drivers or variables for predicting turnaround time include duration of critical early steps …” (indicador citado apenas como driver, não como medidor construído)."
Contagem de Discrepâncias na Aplicação,Não,"“Top drivers … include … number of discrepancies in applications …” (citado como variável explicativa, sem construção de medidor próprio)."
Qualidade da Aplicação (‘Clean’ vs ‘Not Clean’),Não,“Top drivers … include … whether the application is ‘clean’ …” (citado apenas como driver).
Canal de Submissão,Não,“Top drivers … include … channel from which applications are submitted …” (citado apenas como driver).
Seiger et al. 2019 - Toward a framework for self-adaptive workflows in cyber-physical systems.pdf
Modelo,Usa_para_construir_medidores,Trecho_que_corrobora
Cyber-physical Consistency (CPC),Sim,"“As an extension of the well-known ACID criteria [13], we introduce the notion of Cyber-physical Consistency CPC for a workflow in CPS as a matching of its assumed physical state … and its actual physical state measured by sensors after execution.”"
Consistency Level,Sim,"“This is complemented by an optional Consistency Level, which can be specified as part of an objective. This level defines the minimal threshold … that has to be reached for the particular context factor to fulfil the objective.”"
KPI levels,Nao,"“The MAPE-K framework is also suitable to adapt business processes on other levels … and based on other criteria (e.g., QoS or KPI levels) [32].”"
QoS,Nao,"“The MAPE-K framework is also suitable to adapt business processes on other levels … and based on other criteria (e.g., QoS or KPI levels) [32].”"
ACID criteria,Nao,"“As an extension of the well-known ACID criteria [13], we introduce the notion of Cyber-physical Consistency …”"
Caione et al. 2016 - Knowledge base support for dynamic information system management.pdf
"SCOR (Supply Chain Operations Reference);Apenas citado;""Millet PA", Schmitt P," Botta-Genoulaz V (2009) The SCOR model for the alignment of business processes and information systems."""
"Total Quality Management (TQM);Apenas citado;""Most of the integration strategies in literature use one", or a combination," of the following concepts: ... Total Quality Management (TQM) ..."""
"Business Excellence (BE);Apenas citado;""Most of the integration strategies in literature use one", or a combination," of the following concepts: ... Business Excellence (BE) models."""
Venero et al. 2019 - Towards a metamodel for supporting decisions in knowledge-intensive processes.pdf
modelo_indicador,usado_para_construir_medidores,trecho_que_corroborra
Metric,sim,"“A metric is a quantifiable measure used to track and assess the status of an objective … The metrics help the detection of deviations and unexpected process evolution, and give a view of the achieved progress in reaching an objective.”"
Key Performance Indicator (KPI),não,"“A metric is a quantifiable measure used to track and assess the status of an objective, such as key performance indicators (KPI) or key risk indicators (KRI).”"
Key Risk Indicator (KRI),não,"“A metric is a quantifiable measure used to track and assess the status of an objective, such as key performance indicators (KPI) or key risk indicators (KRI).”"
Rimini and Roberti 2008 - Business process monitoring - BT Italy case study.pdf
Not valid csv text, check the article
Hernaus et al. 2012 - Influence of strategic approach to BPM on financial and non-financial performance.pdf
Modelo,Usado_para_construir_medidores?,Trecho_que_corrobora
Balanced Scorecard,sim,"“Davis and Albright (2004) demonstrated that business units, which adopted the balanced scorecard model and its performance measurement framework significantly, outperformed other business units. Since the balanced scorecard model comprises internal process measures, there is reason to suggest that PPM has a direct impact on financial performance.”"
Strategy Maps,não,"“Even common methodologies such as strategy maps have been developed (Kaplan and Norton, 2004) and they play an important role in linking strategy and process design.”"
Process Performance Measurement System (PPMS),não,"“This concept was first introduced by Kueng (2000), but it started to be more attractive only since 2010... it can be concluded that today’s performance measurement systems are still not focused upon business processes.”"
Key Performance Indicators (KPIs),não,"“These challenges, among others, also include defining key performance indicators (KPIs) that align business process performance with business objectives.”"
Tsirukis and Reklaitis 1993 - Feature extraction algorithms for constrained global optimization II. Batch process scheduling application.pdf
Not valid csv text, check the article
Panfilov et al. 2021 - Digital Ecosystem-Based KPI-Driven Railway Communication Network Reporting System.pdf
modelo_indicador,uso,trecho_corroborador
Indicadores KPI operacionais,construir medidores,Fig. 2 shows the created Railway communication network methodology for operational and analytical KPIs.
Indicadores KPI analíticos,construir medidores,Fig. 2 shows the created Railway communication network methodology for operational and analytical KPIs.
Indicadores compostos (Composite indicators),construir medidores,"The KPI and other indicators can be used for generating composite indicators to be used in performance benchmarking with the best in industry, besides verifying the return on investments [16]."
KPIs específicos por indústria (Industry-specific KPIs),citados,"Industry-specific KPIs have been created in different markets including retail, healthcare, financial services, logistics, manufacturing, supply chain operations, and transportation [17]."
Sistema unificado de indicadores inter-relacionados em três níveis hierárquicos,construir medidores,"A unified system of interrelated indicators... The system of interlinked indicators, arranged in three levels of the hierarchy, includes more than 25 functional areas."
Velásquez et al. 2024 - A Systematic Literature Review of the Analysis of Costs and Other Dimensions in Process Mining and Related Disciplines.pdf
Modelo,Uso,Trechos que corroboram
Devil’s Quadrangle (DQ),Construção de medidores,"“The consideration of the devil’s quadrangle (DQ) for defining performance indicators was often observed. The DQ depicts the process performance according to four dimensions: time, cost, quality and flexibility [76], thus allowing to evaluate the process in a bounded way understanding the relationship between the four dimensions.”"
Overall Equipment Effectiveness (OEE),Construção de medidores,"Referência [55] citada no texto: “K. My Abdelbar, D. Bouami, and S. Elfezazi, ‘New approach towards formulation of the overall equipment effectiveness,’ J. Quality Maintenance Eng., vol. 25, no. 1, pp. 90–127, Mar. 2019.”"
Balanced Scorecard,Apenas citado,"Referência [60] listada: “T. Venkatramanan, ‘Developing a strategic cost management model: combininig the balanced scorecard and activity-based costing in the context of diabetes education,’ M.S. thesis, Univ. Lethbridge, 2006.”"
Chen et al. 2009 - An integrated framework for service engineering - a case study in the financial services industry.pdf
Modelo,Usado para construir medidores?,Trechos do texto que corroboram  
Balanced Scorecard,Sim,“BFE used a scorecard approach [14] to measuring business satisfaction with IT services and performance. One of the scorecard measures was ‘LTA’s are relevant to the business … and technology projects are aligned to the roadmaps’.” / “specific scorecard measures were used to reflect the degree to which the business units felt the SLM reporting and performance supported business functions.”  
SLA / Service Level Management,Sim,"“weekly SLA reports were developed which reflected availability of the high value business functions at the Layer 1 process level.” / “The new method was able to reframe SLA creation, monitoring, and reporting … e assim melhorar o alinhamento geral negócio-TI.”"
Adams et al. 2025 - Addressing the Contemporary Challenges of Business Process Compliance - The Case for Process Mining in the Banking Industry.pdf
Modelo,Usado_para_Construir_Medidor,Trecho_que_Corrobora
detailed violation metrics,Apenas Citado,"“Detailed violation metrics are regarded as a key BPC requirement [RS10, RS12, RS20]” (Tabela 5 – C4.1 Measuring what matters)."
fuzzy metrics,Apenas Citado,"“…with a range of metrics, e.g., ‘fuzzy’ metrics, measuring compliance and conformance is not always straightforward [RS1, RS12, RS31].” (Tabela 5 – C4.1 Measuring what matters)."
custom metrics / KPIs (F6.4),Construção de Medidores,“This BPCC is satisfied by … the ability to customize metrics/KPIs (F6.4)… ” (Tabela 7 – mapeamento de C4.1).
KPI thresholds (F6.5),Construção de Medidores,“…and set KPI thresholds (F6.5)… ” (Tabela 7 – mapeamento de C4.1).
frequency metrics (F2.7),Construção de Medidores,“…a range of pre-defined metrics covering frequency (F2.7)… ” (Tabela 7 – mapeamento de C4.1).
time metrics (F2.8),Construção de Medidores,“…time (F2.8)… ” (Tabela 7 – mapeamento de C4.1).
resource metrics (F2.9),Construção de Medidores,"“…and others, e.g., resources (F2.9)… ” (Tabela 7 – mapeamento de C4.1)."
Love and Holt 2000 - Construction business performance measurement - The SPM alternative.pdf
Modelo,Uso,Trecho
Performance Measurement Matrix,Apenas citado,"“In response to calls for improved BPM, several new performance measurement frameworks incorporating financial measures and BD have emerged in the management literature. Some examples include: the performance measurement matrix (Keegan et al., 1989) …”"
Performance Pyramid,Apenas citado,"“In response to calls for improved BPM, several new performance measurement frameworks incorporating financial measures and BD have emerged in the management literature. Some examples include: … the performance pyramid (Lynch and Cross, 1991) …”"
Balanced Scorecard,Apenas citado,"“In response to calls for improved BPM, several new performance measurement frameworks incorporating financial measures and BD have emerged in the management literature. Some examples include: … the balanced scorecard (Kaplan and Norton, 1996) …”"
Malcolm Baldrige Award,Apenas citado,"“In response to calls for improved BPM, several new performance measurement frameworks incorporating financial measures and BD have emerged in the management literature. Some examples include: … the ‘Baldrige’ Award (Anon, 1999).”"
Smart et al. 2024 - Multiparty Computation - To Secure Privacy, Do the M ... Joshua W. Baron, Sanjay Saravanan, Jordan Brandt, and Atefeh Mashatan.pdf
Indicador,Uso,Trecho
Reach measurement (número de pessoas que veem anúncios),Construção de Medidor,"“You know, we’re spending an ungodly amount of money on web advertising now, but none of you can tell us the most basic thing, which is: How many people are viewing our ads?’ … ‘In that industry, this is what’s known as reach measurement.’”"
Tempo para processar 1 milhão de linhas,Construção de Medidor,"“For a two-party computation, we now can process a million rows in two minutes… By early 2023, we were on pace to process a million rows in less than a few minutes.”"
Custo para processar 1 milhão de linhas,Construção de Medidor,"“for a two-party computation, we now can process a million rows in two minutes for about a dollar… The cross-media calculation… a million rows in four minutes at a cost of about $15.”"
Taxa de detecção de fraude,Construção de Medidor,“we were able to demonstrate up to a 20 percent improvement in the fraud-detection rate.”
Retorno sobre o investimento (ROI),Apenas citação,"“Secure collaboration delivers the ROI because, collectively, we’re able to build more ethical and accurate models…”"
Taxa de conversão de anúncios (ad-conversion rate),Construção de Medidor,“say Facebook advertisers have expressed an interest in studying ad-conversion rates within some particular market sector so they can better understand which types of ads are most likely to succeed”
Medição de disparidades salariais por gênero e raça,Construção de Medidor,“Boston Women’s Workforce Council has been using a secure MPC approach to measure gender and racial wage gaps in the greater Boston area.”
Atribuição de vendas a anúncios (Interoperable Private Attribution),Construção de Medidor,"“This involves performance measurement, which is to say a determination of how many sales can be attributed to particular ads… The goal is to provide for interoperable private attribution (IPA)”"
Retornos acima do mercado (above-market returns),Apenas citação,“their goal is to generate above-market returns for their contributors and beneficiaries.”
Ogbuachi et al. 2022 - A Framework for Quantifiable Process Improvement through Method Fragments in Situational Method Engineering.pdf
Modelo,Usado_para_construir_medidores_ou_apenas_citado,Trecho_do_texto_que_corrobor a_informaçao
Critical Path Method (CPM),Usado para construir medidores,“We incorporate Situational Method Engineering metamodelling and the Critical Path Method as a base for process improvement.” e “Analytical studies such as the Critical Path Method (CPM) [30] can be carried out on it.”
Linear Programming (LP),Usado para construir medidores,"“...introduce the usage of LP for quantifiable process tailoring.” e “Optimizing the critical path truly is a mathematical problem ... techniques aside from CPM, such as ... LP [1], can also be applied.”"
Project Evaluation and Review Technique (PERT),Apenas citado,"“other structures may successfully be used as well, e.g. Activity-on-Arrow (AOA) diagrams, such as PERT [16,30].”"
Tempo,Usado para construir medidores,"“He incorporated time, cost, quality and safety as variables in the optimization of processes of the construction industry, to avoid project failure as early as possible.”"
Custo,Usado para construir medidores,"“He incorporated time, cost, quality and safety as variables in the optimization of processes of the construction industry, to avoid project failure as early as possible.”"
Qualidade,Usado para construir medidores,"“He incorporated time, cost, quality and safety as variables in the optimization of processes of the construction industry, to avoid project failure as early as possible.”"
Segurança,Usado para construir medidores,"“He incorporated time, cost, quality and safety as variables in the optimization of processes of the construction industry, to avoid project failure as early as possible.”"
Kaschek et al. 2007 - An e-Process selection model.pdf
Not valid csv text, check the article
Bandara et al. 2018 - Enterprise Business Process Management in the Public Sector - The Case of the Department of Human Services (DHS) Australia.pdf
ModeloIndicador,TipoUso,TrechoCorroboracao  
MOS 8.1,ConstruçãoMedidores,"'MOS 8.1 - Total savings re-invested in improved service delivery' aparece no quadro que relaciona recomendações do WMS a resultados estratégicos e é listado na coluna MEASURES OF SUCCESS, indicando seu uso efetivo como medidor de desempenho.  "
MOS 2.1,ConstruçãoMedidores,"O diagrama apresenta 'MOS 2.1 - People are satisfied with the overall quality of service' também na coluna MEASURES OF SUCCESS, evidenciando que é utilizado para medir a performance do processo.  "
MOS 5.2,ConstruçãoMedidores,"No mesmo quadro lê-se 'MOS 5.2 - Employee engagement score' como métrica vinculada a resultados estratégicos, confirmando o seu emprego como indicador de desempenho.  "
KPI (Key Performance Indicator),ApenasCitado,"Na seção 5.3.6 consta a atribuição de 'Drafting and agreeing process related key performance indicators (KPIs)', citando o modelo de indicadores mas sem apresentar indicadores concretos nem valores.  "
Process metrics,ApenasCitado,"Em 'Process Governance Roles and Responsibilities' é listada a atividade 'Process metrics and performance linkage', apenas mencionando métricas de processo sem construir medidores específicos.  "
Process measures,ApenasCitado,"No quadro de capacidades essenciais aparece 'Process measures' como parte do alinhamento estratégico, porém sem detalhamento de indicadores ou utilização prática como medidor."
Wetzstein et al. 2010 - Cross-organizational process monitoring based on service choreographies.pdf
Indicador,Uso,Fragmento do texto  
Key Performance Indicators (KPI),Citado,"business activity monitoring technology enables continuous, near real-time event-based monitoring of business processes based on key business metrics, also known as key performance indicators (KPI) [11]  "
Service Level Agreements (SLA),Citado,These metrics are then used e.g. as basis for definition of Service Level Agreements (SLAs) or Key Performance Indicators (KPIs)  
Service level parameters,Citado,One could for example specify service level parameters and service level objectives based on complex events which contain corresponding metric values  
Service level objectives,Citado,One could for example specify service level parameters and service level objectives based on complex events which contain corresponding metric values  
Availability (QoS),Citado,"service QoS, typically technical characteristics such as availability and response time [6]  "
Response time (QoS),Citado,"service QoS, typically technical characteristics such as availability and response time [6]  "
Order fulfillment lead time,Construído,"Consider, for example, the metric order fulfillment lead time which could be measured in our scenario from the start of the activity Receive PO in the reseller process until the While Loop completes in the customer process  "
CustomerAOrderFulfillmentTime (complex event),Construído,"<complexEventDefinition ... name =\CustomerAOrderFulfillmentTime\"" ... SELECT abs(b.timestamp - a.timestamp) AS metricValue""  "
Order processing duration,Construído,considering the calculation of the order processing duration between the activity Receive PO and Receive Shipment Acknowledgment in our scenario
Caldwell 2006 - Cost - Performance - A Business Discipline.pdf
Not valid csv text, check the article
Hofmann et al. 2020 - Robotic process automation.pdf
Modelo,Usado_para_construir_medidores,Trecho
Key Performance Indicators (KPIs),Sim,"“RPA may help to improve process key performance indicators (KPIs)…”, “Decision-makers should consider two general KPI groups for measuring RPA’s business impacts.”"
Six Sigma methodology,Sim,“One may follow the Six Sigma methodology (Linderman et al. 2003) and specify for instance a maximum error rate for the software robot to still be effective.”
Failure Mode and Effects Analysis (FMEA),Não,“Analysis techniques (such as in the failure mode and effects analysis) (Teng and Ho 1996) could help to determine the implications of implementing RPA.”
Khan et al. 2023 - Semantic Representation of Key Performance Indicators Categories for Prioritization.pdf
Modelo,ConstruçãoDeMedidores,Trecho do texto que corrobora
"Framework for KPI Evolution (Domínguez et al., 2020)",Não,"“provides the emphasis on the concepts of a conceptual framework, including a pattern-driven KPI evolution specification and a KPI evolution meta-model… Several areas requiring additional research must be addressed to develop this general framework.”"
"National Performance Indicator Ontology – NPIonto (Sebubi et al., 2019)",Não,“The model was conceptualized using the official development agenda documents as a foundation and developed using the Knowledge Model Development (KMD) methodology.”
"KPI Selection Model as part of the Enterprise Analysis Model – EAM (Kaganski et al., 2017)",Sim,“The model was put to the test by a private firm. The collection of KPIs that management should use was created.”
"KPI-based Ontology for Condition Monitoring of Automation Systems (Pasic et al., 2019)",Sim,"“Based on the proposed ontology in an industrial project, the author created a condition monitoring knowledge-based system for a centrifugal separator and reported the criteria to evaluate this work.”"
Generalized KPI Model for Business Performance (Ahmad & Jusoh 2014),Sim,“A generalized KPI model proposed to improve business performance looked into the connection between institutional ownership and Malaysian publicly traded firms’ financial performance.”
Ontology-based Model of KPIs for Business Process Improvement (Amor & Ghannouchi 2017),Sim,"“The application of the suggested contribution is demonstrated, and a case study in the field of healthcare is used to validate it.”"
"SemPI – Semantic Framework for Describing Performance Indicators (Diamantini et al., 2016)",Sim,“provide a novel semantic framework for describing performance indicators that helps create and maintain a concise and reliable lexicon.”
"KPI-based Approach for Semantic Business Process Performance Management (Wetzstein et al., 2008)",Não,“present a key performance indicator-based approach to semantic business process performance management.”
Lehnert et al. 2018 - Prioritization of Interconnected Processes.pdf
"Net Present Value;Não;""“…merged into integrated performance indicators (e.g."," net present value or stakeholder service gap perception)…”"""
"Stakeholder Service Gap Perception;Não;""“…merged into integrated performance indicators (e.g."," net present value or stakeholder service gap perception)…”"""
Elhadjamor and Ghannouchi 2019 - Analyze in Depth Health Care Business Process and Key Performance Indicators using Process Mining.pdf
Modelo_Indicador,Usado_para_Medicao?,Trecho_que_Corrobora
Key Performance Indicator (KPI),Sim,“The use of a BPMS facilitates the monitoring of Key Performance Indicators (KPIs).”
Process Performance Indicator (PPI),Não,“...recover the information concerning the process performance (Process Performance Indicators) [5].”
Quanti_KPI9 – tempo de espera antes da triagem,Sim,"“For example, we analyze ... Quanti_KPI9 the waiting time before sorting ...”"
Quali_KPI13 – satisfação com a instalação na sala de triagem,Sim,“...the waiting time before sorting with Quali_KPI13 installation in the sorting room.”
Quali_KPI3 – disponibilidade da equipe paramédica,Sim,"“...combination of Quali_KPI3 paramedical staff availability, Quali_KPI4 medical staff availability and Quanti_KPI9...”"
Quali_KPI4 – disponibilidade da equipe médica,Sim,"“...combination of Quali_KPI3 paramedical staff availability, Quali_KPI4 medical staff availability and Quanti_KPI9...”"
Akkiyat and Souissi 2019 - Building a Process Meta Model Extended for Cycles.pdf
Modelo,Uso,Trecho que corrobora  
"BPMN extension for modeling non-functional properties of business processes (Bocciarelli & D’Ambrogio, 2011)",Apenas citado,"These include, but are not limited to: quality management [13][14], performance measurement [15][16] ...  "
"BPMN extension for Business Activity Monitoring – BAM (Friedenstab et al., 2012)",Apenas citado,"These include, but are not limited to: quality management [13][14], performance measurement [15][16] ...  "
PDCA cycle (Plan-Do-Check-Act),Usado para construir medidores,"Step Check aims to control by various means (indicators, etc.) that the work (DO) corresponds well to what was planned (PLAN)."
Thurnher and vomBrocke 2008 - Measuring the value of user participation ... projects - results from case studies in the mobile it-service sector.pdf
"Balanced Score Card Analysis;Não;""Value propositions  of IT-Systems can be measured through business metrics … e.g. cost/benefit"," Balanced Score Card-Analysis or Return on Investment calculations (ROI) or Service Level Agreements (SLAs) [23].""  "
"Cost/Benefit;Não;""Value propositions  of IT-Systems can be measured through business metrics … e.g. cost/benefit"," Balanced Score Card-Analysis or Return on Investment calculations (ROI) or Service Level Agreements (SLAs) [23].""  "
Severino et al. 2016 - A cross-layer QoS management framework for ZigBee cluster-tree networks.pdf
Modelo Indicador,Usado para construir medidor? (sim/não),Trecho do texto que corrobora
d_i (relação tráfego de entrada/saída),sim,"“The first performance indicator denoted by d_i represents the relationship between incoming and outgoing traffic, which gives a measurement of the bandwidth requirements of a node.”"
D_i (média exponencial de d_i),sim,"“To smoothen out the result … resulting in: D_i = α d_i + (1−α) D_{i−1}, i>0.” e “If D_i < Threshold_DBR then call DCS-Set (Inc. Bandwidth)”"
t_i (razão de sucesso MAC),sim,"“The second performance indicator, t_i, concerns behavior of the MAC layer concerning successful transmissions, and it is represented by two ratios.”"
T_i (média exponencial de t_i),sim,"“To smoothen out the result and avoid sharp transient oscillations…, resulting in the indicator T_i: T_i = β t_i + (1−β) T_{i−1}, i>0.” e “if T_i < Threshold_TRADIF then call TRADIF-set”"
Successful transmission probability,sim,“The successful transmission probability is calculated by the fraction between the number of successfully acknowledged frames and the traffic generated at the application layer.”
End-to-end delay,sim,“The simulation results show that the proposed framework … reduces the end-to-end delay by 94 %.”
Loyola-González 2023 - Process mining - software comparison, trends, and challenges.pdf
Modelo,Utilizacao,Trecho  
Frequency metrics,medidor,"“Frequency metrics Activity frequency, Case frequency, Max. occurrence in case, Start/end activity frequency, Rework metrics” (Tabela 5)  "
Time metrics,medidor,"“Time metrics Avg/med/trim med duration, Customizable” (Tabela 5)  "
Cost metrics,medidor,"“Additional graph metrics Cost metrics, Custom metrics” (Tabela 5)  "
Throughput time,medidor,"“Activity color emphasizes throughput time.” (Seção 2.4, Fig. 2)  "
Activity duration (working time),medidor,“What is activity duration (working time)?” (Seção 2.4)  
Waiting time between activities,medidor,“How much waiting time between activities?” (Seção 2.4)  
Average processing time for cases,medidor,“What is the average processing time for cases?” (Seção 2.4)  
Rework metrics,medidor,“Rework analysis 1.00” / “Rework metrics” (Tabelas 3 e 5)  
KPI Threshold,medidor,“KPI Threshold 1.00” (Tabelas 2 e 4)  
Custom metrics/KPIs,medidor,"“Custom metrics/KPIs” (Tabelas 2, 4 e 5)  "
Number of occurrences (activity size),medidor,"“Activity size refers to the number of occurrences, metrics related to costs, or resources usage.” (Seção 2.4)"
Sanchez-Gonzalez et al. 2022 - Digitalizing Maritime Containers Shipping Companies - Impacts on Their Processes.pdf
Modelo,Usado_para_construir_medidores?,Trecho_corroboracao  
Devil’s Quadrangle,Sim,"“The tool for quantifying the impact of this redesign is the devil’s quadrangle [21]. This framework evaluates the impact using the four performance dimensions for processes: costs, time, quality, and flexibility.”  "
Balanced Scorecard,Sim,"“They should also review their existing balanced scorecard, incorporating the application’s KPIs documented in the aforementioned section.”  "
Key Performance Indicators (KPIs),Sim,“The total number of KPIs used is 51. These KPIs measure the performance of the introduction of the 46 digital applications.”
Schiefer and Seufert 2005 - Management and Controlling of Time-Sensitive Business Processes with Sense & Respond.pdf
Modelo de Indicador,Uso,Trecho do Texto
Key Performance Indicators (KPIs),Construção de Medidores,"“Transformation of the captured events (raw data) into business information, such as key performance indicators...”  /  “Analysis of key performance indicators and determination of root causes for business situations and exceptions.”"
Process Metrics,Apenas Citado,“Enabling quick intelligent decentralized decision-making based on current process information and process metrics and key performance indicators.”
Business Metrics,Construção de Medidores,“During the entire Sense & Respond processing the SARI system is continuously generating business metrics that can be used by supply chain managers for monitoring the supply chain.”
Mellema and Smith 1988 - Simulation analysis of narrow-aisle order selection systems.pdf
Modelo,UsadoParaConstruirMedidor,TrechosCorroborativos
Picking productivity (pieces picked per man-hour),sim,"“The primary performance measure used in our analysis was picking productivity, measured as pieces picked per man-hour.”"
Operator utilization (percentage of time spent in the aisles picking orders),sim,"“The model was also structured to keep track of the utilization of the operators, i.e. the percentage of their time spent in the aisles picking orders.”"
Hernandez and Intal 2024 - Project Identification and Evaluation - a Case on Business Process Reengineering of Ports Project Workflow Management.pdf
Modelo,Utilização,Trecho_de_texto  
Mckinsey’s 7S Framework,apenas_citado,"“This project briefly presents the Mckinsey’s 7s Framework to summarize the strategy, structure, systems, shared values, style, staff, and skills applied in the case organization, as presented in Table 1.”  "
SWOT Analysis,apenas_citado,"“This project presents the SWOT analysis (strengths, weakness, opportunities, and threats), as presented in Table 2.”  "
Ishikawa / Cause-and-Effect Diagram,apenas_citado,“This project presents the cause and effect (Ishikawa) diagram to provide an overview of the root cause of the inefficiency in project identification and evaluation in the Engineering division…”  
Weighted Scoring Model (Decision Analysis),usado_para_construir_medidores,“Table 4. shows the alternative options for the workflow management system… the group decided to provide weights for each criterion identified necessary in the selection of the best alternative option…”  
